phi,psi
79.5,-55.5
77.46,-50.82
75.42,-46.14
73.38,-41.46
71.34,-36.78
69.3,-32.1
67.26,-27.42
65.22,-22.74
63.18,-18.06
61.14,-13.38
59.1,-8.7
57.06,-4.02
55.02,0.66
52.98,5.34
50.94,10.02
48.9,14.7
46.86,19.38
44.82,24.06
42.78,28.74
40.74,33.42
38.7,38.1
36.66,42.78
34.62,47.46
32.58,52.14
30.54,56.82
28.5,61.5
20.75,65.875
13.0,70.25
5.25,74.625
-2.5,79.0
-10.25,83.375
-18.0,87.75
-25.75,92.125
-33.5,96.5
-41.25,100.875
-49.0,105.25
-56.75,109.625
-64.5,114.0
-72.25,118.375
-80.0,122.75
-87.75,127.125
-95.5,131.5
-103.25,135.875
-111.0,140.25
-118.75,144.625
-126.5,149.0
-134.25,153.375
-142.0,157.75
-149.75,162.125
-157.5,166.5
