phi,psi,step
79.5,-55.5,0
72.1107911724,-55.2947441992,1
64.7215823448,-55.0894883985,2
57.3323735172,-54.8842325977,3
49.9431646896,-54.6789767969,4
42.553955862,-54.4737209962,5
35.1647470345,-54.2684651954,6
27.7755382069,-54.0632093946,7
20.3863293793,-53.8579535939,8
12.9971205517,-53.6526977931,9
5.60791172408,-53.4474419923,10
-1.78129710351,-53.2421861916,11
-9.1705059311,-53.0369303908,12
-16.5597147587,-52.83167459,13
-23.9489235863,-52.6264187893,14
-29.941009585,-50.0536348905,15
-33.6927445972,-43.6844103349,16
-37.4444796094,-37.3151857793,17
-41.1962146217,-30.9459612237,18
-44.9479496339,-24.5767366681,19
-48.6996846461,-18.2075121125,20
-52.4514196583,-11.8382875569,21
-56.2031546705,-5.46906300129,22
-59.9548896827,0.90016155431,23
-63.7066246949,7.26938610991,24
-67.4583597071,13.6386106655,25
-71.2100947193,20.0078352211,26
-74.9618297315,26.3770597767,27
-78.7135647437,32.7462843323,28
-82.4652997559,39.1155088879,29
-86.2170347681,45.4847334435,30
-89.9687697803,51.8539579991,31
-93.7205047925,58.2231825547,32
-97.4722398047,64.5924071103,33
-101.223974817,70.9616316659,34
-104.975709829,77.3308562216,35
-108.727444841,83.7000807772,36
-112.479179854,90.0693053328,37
-116.230914866,96.4385298884,38
-119.982649878,102.807754444,39
-123.73438489,109.176979,40
-127.486119902,115.546203555,41
-131.237854915,121.915428111,42
-134.989589927,128.284652666,43
-138.741324939,134.653877222,44
-142.493059951,141.023101778,45
-146.244794963,147.392326333,46
-149.996529976,153.761550889,47
-153.748264988,160.130775444,48
-157.5,166.5,49
