phi,psi,step
79.5,-55.5,0
82.01,-58.316,1
84.52,-61.133,2
87.031,-63.949,3
89.541,-66.765,4
92.051,-69.582,5
94.561,-72.398,6
97.071,-75.214,7
99.582,-78.031,8
102.092,-80.847,9
104.602,-83.663,10
107.112,-86.48,11
109.622,-89.296,12
112.133,-92.112,13
114.643,-94.929,14
117.153,-97.745,15
119.663,-100.561,16
122.173,-103.378,17
124.684,-106.194,18
127.194,-109.01,19
129.704,-111.827,20
132.214,-114.643,21
134.724,-117.459,22
137.235,-120.276,23
139.745,-123.092,24
142.255,-125.908,25
144.765,-128.724,26
147.276,-131.541,27
149.786,-134.357,28
152.296,-137.173,29
154.806,-139.99,30
157.316,-142.806,31
159.827,-145.622,32
162.337,-148.439,33
164.847,-151.255,34
167.357,-154.071,35
169.867,-156.888,36
172.378,-159.704,37
174.888,-162.52,38
177.398,-165.337,39
179.908,-168.153,40
-177.582,-170.969,41
-175.071,-173.786,42
-172.561,-176.602,43
-170.051,-179.418,44
-167.541,177.765,45
-165.031,174.949,46
-162.52,172.133,47
-160.01,169.316,48
-157.5,166.5,49
