phi,psi,step
79.5,-55.5,0
74.663,-50.969,1
69.827,-46.439,2
64.99,-41.908,3
60.153,-37.378,4
55.316,-32.847,5
50.48,-28.316,6
45.643,-23.786,7
40.806,-19.255,8
35.969,-14.724,9
31.133,-10.194,10
26.296,-5.663,11
21.459,-1.133,12
16.622,3.398,13
11.786,7.929,14
6.949,12.459,15
2.112,16.99,16
-2.724,21.52,17
-7.561,26.051,18
-12.398,30.582,19
-17.235,35.112,20
-22.071,39.643,21
-26.908,44.173,22
-31.745,48.704,23
-36.582,53.235,24
-41.418,57.765,25
-46.255,62.296,26
-51.092,66.827,27
-55.929,71.357,28
-60.765,75.888,29
-65.602,80.418,30
-70.439,84.949,31
-75.276,89.48,32
-80.112,94.01,33
-84.949,98.541,34
-89.786,103.071,35
-94.622,107.602,36
-99.459,112.133,37
-104.296,116.663,38
-109.133,121.194,39
-113.969,125.724,40
-118.806,130.255,41
-123.643,134.786,42
-128.48,139.316,43
-133.316,143.847,44
-138.153,148.378,45
-142.99,152.908,46
-147.827,157.439,47
-152.663,161.969,48
-157.5,166.5,49
